350	2	8
351	1	9
352	2	8
353	3	7
20	3	7
21	1	9
22	2	8
23	1	9
24	1	9
25	2	8
26	3	7
27	3	7
28	5	5
29	8	2
30	3	7
31	5	5
32	6	4
33	6	4
34	8	2
35	8	2
36	3	7
37	9	1
38	9	1
39	7	3
40	9	1
41	8	2
42	8	2
43	7	3
44	10	0
45	8	2
46	10	0
47	8	2
48	9	1
49	6	4
50	4	6
51	7	3
52	4	6
53	6	4
54	5	5
55	6	4
56	2	8
57	4	6
58	2	8
59	5	5
60	6	4
61	0	10
62	3	7
63	3	7
64	4	6
65	6	4
66	6	4
67	7	3
68	4	6
69	8	2
70	9	1
71	6	4
72	7	3
73	7	3
74	9	1
75	8	2
76	6	4
77	7	3
78	7	3
79	9	1
80	6	4
81	8	2
82	7	3
83	8	2
84	7	3
85	6	4
86	6	4
87	8	2
88	6	4
89	6	4
90	4	6
91	7	3
92	6	4
93	5	5
94	3	7
95	5	5
96	5	5
97	4	6
98	2	8
99	6	4
100	5	5
101	1	9
102	2	8
103	6	4
104	1	9
105	4	6
106	2	8
107	2	8
108	4	6
109	6	4
110	7	3
111	3	7
112	2	8
113	4	6
114	4	6
115	6	4
116	5	5
117	3	7
118	5	5
119	4	6
120	5	5
121	5	5
122	7	3
123	3	7
124	6	4
125	8	2
126	3	7
127	2	8
128	6	4
129	7	3
130	5	5
131	4	6
132	6	4
133	6	4
134	5	5
135	4	6
136	5	5
137	3	7
138	4	6
139	6	4
140	4	6
141	3	7
142	7	3
143	5	5
144	2	8
145	3	7
146	2	8
147	4	6
148	2	8
149	6	4
150	4	6
151	3	7
152	3	7
153	0	10
154	1	9
155	4	6
156	4	6
157	3	7
158	4	6
159	3	7
160	1	9
161	3	7
162	1	9
163	1	9
164	3	7
165	4	6
166	3	7
167	5	5
168	2	8
169	3	7
170	2	8
171	3	7
172	3	7
173	2	8
174	1	9
175	0	10
176	1	9
177	3	7
178	1	9
179	2	8
180	1	9
181	5	5
182	4	6
183	2	8
184	3	7
185	4	6
186	6	4
187	3	7
188	2	8
189	5	5
190	3	7
191	3	7
192	2	8
193	5	5
194	3	7
195	3	7
196	2	8
197	2	8
198	3	7
199	6	4
200	3	7
201	6	4
202	2	8
203	1	9
204	3	7
205	2	8
206	3	7
207	3	7
208	3	7
209	2	8
210	3	7
211	4	6
212	5	5
213	1	9
214	4	6
215	2	8
216	0	10
217	2	8
218	3	7
219	1	9
220	2	8
221	2	8
222	1	9
223	3	7
224	1	9
225	1	9
226	1	9
227	3	7
228	1	9
229	3	7
230	3	7
231	3	7
232	0	10
233	5	5
234	1	9
235	5	5
236	2	8
237	2	8
238	3	7
239	2	8
240	1	9
241	3	7
242	4	6
243	2	8
244	2	8
245	4	6
246	2	8
247	4	6
248	0	10
249	1	9
250	2	8
251	3	7
252	3	7
253	2	8
254	1	9
255	1	9
256	3	7
257	3	7
258	2	8
259	3	7
260	1	9
261	3	7
262	3	7
263	2	8
264	4	6
265	5	5
266	1	9
267	2	8
268	1	9
269	1	9
270	3	7
271	0	10
272	1	9
273	2	8
274	3	7
275	2	8
276	1	9
277	4	6
278	1	9
279	3	7
280	1	9
281	0	10
282	3	7
283	2	8
284	3	7
285	0	10
286	3	7
287	1	9
288	1	9
289	2	8
290	1	9
291	0	10
292	2	8
293	0	10
294	2	8
295	1	9
